Item #,Question / Issue / Action,Raised By,Status,Parent Issue (if Cascading),Priority,Area,Type,Topic,"Notes

INCLUDE JOB ID & Customer Name FOR ALL ISSUES","Log URL

Add URL for log on GDrive","Impact

What # of components or records are erroring? Is there a manual workaround?",Orgs,Response,"Jira ID 
(Product Only)",Release,Release Date,EA Critical Issue?,G17 Critical Issue?,Stack,NA EA Stack,EU EA Stack,GSK Stack,Bayer Stack,Novo Stack,Scaling Item,Scaling Stack,# G17 Impacted,# E32 Impacted,# SMB Impacted,Critical Issue?,Date Created,Date Closed,Days Open,Hyperlink,Row
Item-439,product__v.external_id__v is getting truncated,Ben,5. Pending Fix,,1 High,Migrator,Issue,ETL - Data,"Customer: MSD, Job ID: 4aa9cb75-6025-4be2-8

External IDs on Product_vod__c are up to 38 characters for MSD US. Migrator is currently truncating the values to 25 characters which causes some values to become duplicates of each other. This is causing products to fail and cascading to millions of transactional failures. ",,Manual workaround is to 1) set product__v.external_id__c to non-unique in the target Vault CRM SBX before starting the data etl and 2) manual data load of the ext ids from sfdc after data etl to make sure they are correct,MSD US (Merck HHUS),,https://jira.veevadev.com/browse/VCRM-125738,253.2.10, 22 Jan 26,,,1,,,,,,,,1,0,0,,12/14/2025,,20,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=2:2,2
Item-384,Events held in last 2 years should not be filtered out if created > 2 years ago,Ben,5. Pending Fix,,1 High,Migrator,Enhancement,ETL - Data,"Customer: GSK
Current date filter rules are filtering out events created before the data filter date but where the event itself was held within the data filter date. 
e.g. data filter date = Sept 2023, planning for major event begins August 2023 so event record created in SFDC, event takes place in March 2024 (7 months within the data filter period) but is filtered out because planning began so early.",,Manual data manipulation needed in source Veeva CRM Prod to clone events and reparent child records in order to get Migrator to extract/transform/load the missing records with a delta,GSK NA,,,253.2.10, 22 Jan 26,,,2,,,,,,,,1,0,0,,09/07/2025,,118,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=3:3,3
Item-432,Error on discovery for Astellas US with no error message,Sam,5. Pending Fix,,1 High,Migrator,Issue,Discovery,"Migration Name: Phase 0 - US Dev v4
Migration id : V60000000053001
Customer: Astellas
Job id: 0674cfa6-7ebb-4977-8

We are testing ignore list objects for Astellas US. Discovery failed with new objects to the ignore list. Checked for errors in the ignore list accross multiple discovery jobs. Final discovery job mentioned above was ran with only the standard ignore and override lists and the job was still unable to run. For every discovery run the result was the same. Job status ""Error"" no further details.

BI faced the same issue today, we are facing this in the SIT migration.
Migration Name: BI-SIT-NEW
Migration ID: V6000000005H002
Customer: BI
Job id (1): 1d63d3ab-197e-4b5e-b
Job id (2): 9894012b-21f9-4728-8",URL,We can't test ignored objects for Astellas US for cascading metadata errors,Astellas,,https://jira.veevadev.com/browse/VCRM-125151,253.2.10, 22 Jan 26,,,3,,,,,,,,0,1,0,,12/10/2025,,24,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=4:4,4
Item-416,"Add Services follow up, priority, & hashtags to Disco Report summary tab",Ben,3. Product Follow-up,,2 Medium,Migrator,Enhancement,Discovery,"Please add 3 columns to the Disco metadata and summary tabs. Services follow-up, Priority, & Hastags.

Here is the full list of Disco item changes with the information services pulled together to add. There are a few clarifying questions for us to discuss on stand up.",,,All,,,,,,,4,,,,,,,,,,,,11/09/2025,,55,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=5:5,5
Item-397,TSF duplicates being created through migrator - Account-Territory triggers,Nastya,8. Resolved,,2 Medium,Vault CRM,Issue,ETL - Data,Process created to clean these up and added to Deployment Checklist. Please confirm when this changes so that these can be updated.,,,All,"[AK 10/16] Account triggers will be fixed in 252.3.30
Call troggers  - 253.0.10
","https://jira.veevadev.com/browse/VCRM-112135

https://jira.veevadev.com/browse/VCRM-112126 ",252.3.30, 23 Oct 25,,,5,,,,,,,,,,,,10/09/2025,12/16/2025,68,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=6:6,6
Item-442,TSF duplicates being created through migrator - Call triggers,Nastya,4. Roadmap,,2 Medium,Vault CRM,Issue,ETL - Data,Process created to clean these up and added to Deployment Checklist. Please confirm when this changes so that these can be updated.,,,All,"[AK 10/16] Account triggers will be fixed in 252.3.30
Call triggers  - TBD
","https://jira.veevadev.com/browse/VCRM-112135

https://jira.veevadev.com/browse/VCRM-112126 ",,,,,5,,,,,,,,,,,,12/14/2025,,20,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=7:7,7
Item-426,"Account Number missmatch, we are missing thousands accounts",David R,3B. Sevices Follow-up,,2 Medium,Migrator,Issue,ETL - Data,"We have run a migration on Child1 for all US territories, and account number does not maltch what we expect.

Migration project: BI-US-HP-TEST-migration-1-Sept-2025
Vault name: sb-bi-us-hp-test-migration-2025-08-29
Environment ID: 292461
Numbers in SFDC
All US Active Accounts in Child1: 4644413
Active US Account with territory: 459421
Active US account without Territory in Child1 4184992

Accounts in Vault SIT: 256538
We are missing around 200k accounts.
Could you please provide detailed logs for this ETL process?
https://migrator.veevavault.com/ui/#t/0TB00000000R016/V60/V60000000042005 

",,,BI Child 1,"[AK 11/26] Filter trail is provided https://drive.google.com/file/d/1HORIuK3pu87s3sGN67e27iOUkEe9owro/view?usp=drive_link Setiign to Services Follow-up

[DR 12/05]: This week we were able to create a dummy territory and assigned all the missing accounts (5.6 mill) we are waiting for a new migration to test it with this new dummy territory with all these accounts. Keep you posted",,,,,,6,,,,,,,,1,0,0,,11/27/2025,,37,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=8:8,8
Item-433,Reached some kind of a limit for Ignore and Override list copy,Niki,4. Roadmap,,2 Medium,Migrator,Issue,Migrator Setup,"Migration Name: BMS US P0 run 4
Migration id : V60000000052002
Customer: BMS US

When tryin to copy 1121 ignores and 7939 overrides from Migration V60000000052002 to V60000000053003, I got an SDK error: This operation could not complete successfully. You may need to contact your vault's administrator about this Java SDK code error caused by: [Request aborted while executing class [com.veeva.vault.custom.recordaction.VcmMigrationCopyLists), memory exceeded max 41943040) bytes allowed. com.veeva.vault.custom.recordaction.VcmMigrationCopyLists Error Id: [ed75cc64-613d-4c56-acb2-da64d6e77a47]",URL to screenshot,Overrides and Ignores are needed to be loaded manually to the new migration record.,Bristol-Myers Squibb,,https://jira.veevadev.com/browse/VCRM-125249,253.2.10, 22 Jan 26,,,7,,,,,,,,1,0,0,,12/11/2025,,23,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=9:9,9
Item-437,Data Extraction error for the Address_vod__History table,Niki,3B. Sevices Follow-up,,2 Medium,Migrator,Issue,ETL - Data,"Migration Name: BMS US P0 run 5
Migration id : V60000000053003
Customer: BMS US
Job id: 879bca0a-cbd6-4a42-a

Data Extraction resulted in error for the Address_vod__History table with the following error message: Failure during batch processing: InvalidBatch : Query processing exception: INVALID_QUERY_LOCATOR: Unable to find query cursor data for this QueryLocator (org 00DU0000000K6W2MAK, path /12000000.cursor), please retry your query.
",https://drive.google.com/drive/u/0/folders/1zPr-zQTxCCzykRTeh-JIbkMbBU-FhyAj,error: 9252000 only for the Address_vod__History object,Bristol-Myers Squibb,SFDC api issue - we need the architect to confirm with the customer if they will need this object in the migrator extract,,,,,,8,,,,,,,,1,0,0,,12/12/2025,,22,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=10:10,10
Item-411,View All/Modify All,Justin Halpern,5. Pending Fix,,2 Medium,Migrator,Enhancement,ETL - Metadata,"Would like to translate the View All/Modify All permission from the System Settings to the proper permissions in Vault. This setting is at the Profile and Permission Level.
Please review this document for the initial thoughts for mapping",N/A,N/A,All,,https://jira.veevadev.com/browse/VCRM-120241,253.2.10, 22 Jan 26,,,9,,,,,,,,,,,,10/25/2025,,70,https://docs.google.com/spreadsheets/d/1NJLdhSol4tqnIdeMg9uGSjC98h3V_sFGcAkAbJUBpp4/edit?gid=1022515905#gid=1022515905&range=11:11,11
